region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F430M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F430M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff,F430M_n_eff
11,71,8.14076387286187e-7,9.219859695457233e-7,1.0715200650655138e-6,1.1502304243960943e-6,1.1889384770345023e-6,1.1997376203367486e-6,1.060326244812175e-6,7.586778193641399e-7,7.211575049144295e-7,6.396920907463381e-7,7.17180620421616e-7,9.02261817482147e-8,9.602010047618796e-8,1.0351425336954876e-7,1.0724879600238383e-7,1.0903845546569809e-7,1.095325349079783e-7,1.029721440396467e-7,8.710211360031052e-8,8.492099298256172e-8,7.998075335643807e-8,8.468651725166268e-8,71,71,71,71,71,71,71,71,71,71,71
12,54,6.191320455219759e-7,7.138476038122784e-7,8.184359896366153e-7,8.625234699366233e-7,9.019286954569144e-7,8.879950666584752e-7,7.579297459251027e-7,5.230805009704449e-7,5.090443080744924e-7,4.541902118989794e-7,4.924343311879239e-7,7.868494427283888e-8,8.448950253210622e-8,9.046745213813725e-8,9.287214167534973e-8,9.496992657978179e-8,9.423349015389778e-8,8.705916068542717e-8,7.232430441908481e-8,7.13473410909259e-8,6.739363559706357e-8,7.01736653729819e-8,54,54,54,54,54,54,54,54,54,54,54
13,48,7.800726688286987e-7,9.12996367252443e-7,1.0634667277689236e-6,1.1576970184215593e-6,1.1930809808163137e-6,1.202783937491096e-6,1.0575891947956854e-6,7.68789069667042e-7,7.228181564916845e-7,6.42440224893309e-7,6.943369686728833e-7,8.83217226297528e-8,9.555084338991693e-8,1.0312452316345147e-7,1.0759632978970795e-7,1.0922824638418003e-7,1.0967150666837289e-7,1.0283915571394417e-7,8.768061756551685e-8,8.501871302787901e-8,8.015236895396849e-8,8.332688453751786e-8,48,48,48,48,48,48,48,48,48,48,48
14,6,1.3729864471949257e-7,1.3068925971266618e-7,1.3977452988274206e-7,1.4664818043374937e-7,1.4424007411346687e-7,1.4014067407551812e-7,1.1022219060292982e-7,7.375767408642286e-8,7.24123078442125e-8,6.341546892299495e-8,7.2110179657822293e-08,3.705383174780883e-8,3.615096951848818e-8,3.738643201520333e-8,3.8294670704126624e-8,3.797895129061187e-8,3.7435367511955606e-8,3.319972749932292e-8,2.7158364105082412e-8,2.6909535084094726e-8,2.518242818375443e-8,2.6853338648634045e-8,6,6,6,6,6,6,6,6,6,6,6
15,42,5.841110563118847e-7,6.956234156917178e-7,8.03114949445377e-7,8.330249261692366e-7,8.828567898094724e-7,8.577282643165681e-7,7.320795452414977e-7,5.03723785271769e-7,4.885335081726182e-7,4.298216545496694e-7,4.518796956441298e-7,7.642715854405975e-8,8.340404161020722e-8,8.961668089398184e-8,9.127019919827263e-8,9.396045922671262e-8,9.261362018172966e-8,8.556164708802057e-8,7.097350106002725e-8,6.989517209168443e-8,6.556078511958725e-8,6.722199756360486e-8,42,42,42,42,42,42,42,42,42,42,42
16,42,5.099233764330351e-7,5.934232258681172e-7,6.666484200830906e-7,6.755611991774179e-7,7.21656043515368e-7,6.853893113003025e-7,5.857857811340604e-7,4.083080995022537e-7,3.909063279561664e-7,3.425002551010399e-7,3.576001709610314e-7,7.14089193611719e-8,7.703396821325753e-8,8.164854071464416e-8,8.219253002417058e-8,8.495034099492291e-8,8.278824260124757e-8,7.653664358554406e-8,6.389899056340825e-8,6.252250218570642e-8,5.852352134834676e-8,5.979967984538308e-8,42,42,42,42,42,42,42,42,42,42,42
17,24,4.002374160313688e-7,4.586316812064488e-7,5.044103479398433e-7,4.992813825612174e-7,5.307078266153744e-7,5.105642902834605e-7,4.096927905100564e-7,2.8058192611014164e-7,2.6823402047175594e-7,2.3368140757231108e-7,2.3311120808190077e-7,6.326431980440229e-8,6.772235090473814e-8,7.10218521259368e-8,7.065984592123149e-8,7.284969640399159e-8,7.145378158526395e-8,6.400724884808411e-8,5.2969984529933715e-8,5.179131398910013e-8,4.834060483406378e-8,4.8281591531545514e-8,24,24,24,24,24,24,24,24,24,24,24
18,30,5.218279349644146e-7,6.146552860553246e-7,7.104517531175657e-7,7.350649904968971e-7,7.826044177780841e-7,7.676341509589354e-7,6.337702202688715e-7,4.344783329884624e-7,4.2596593379078494e-7,3.73965607278518e-7,3.969121611026716e-7,7.223765880511456e-8,7.839995446780084e-8,8.428830008474282e-8,8.573593123637821e-8,8.846493190966035e-8,8.761473340477247e-8,7.960968661343113e-8,6.591497045349125e-8,6.526606574559132e-8,6.11527274353743e-8,6.300096515948557e-8,30,30,30,30,30,30,30,30,30,30,30
19,16,3.123595595265555e-7,3.74086818682839e-7,4.2770385741073926e-7,4.456436085558468e-7,4.6683595179572143e-7,4.5921118496875365e-7,3.768108057893541e-7,2.6010225891647116e-7,2.474507260288697e-7,2.1534589528771787e-7,2.238862657515934e-7,5.588913664806029e-8,6.116263718013139e-8,6.539907166089892e-8,6.675654339132957e-8,6.832539438566904e-8,6.776512266415178e-8,6.13849171856861e-8,5.1000221461918295e-8,4.974441938839669e-8,4.640537633590723e-8,4.731662136623804e-8,16,16,16,16,16,16,16,16,16,16,16
20,23,4.8194460868469985e-07,5.7256769656379e-7,6.741638183476048e-7,7.132566356540857e-7,7.565921163415431e-7,7.454857945305875e-7,6.490129566059461e-7,4.5255839466600376e-7,4.342298531476543e-7,3.810554444736955e-7,4.1367901562555814e-7,6.942223049461173e-8,7.566820313472429e-8,8.210747946122844e-8,8.445452241615517e-8,8.698230373711329e-8,8.634151924367486e-8,8.056134039388533e-8,6.727246053668646e-8,6.589611924443308e-8,6.172968851968195e-8,6.431788364254207e-8,23,23,23,23,23,23,23,23,23,23,23
