region,mass,logzsol,dust2,tage,tau,n_pix,sfr_10myr,sfr_100myr,ssfr_10myr,ssfr_100myr,age_mass_weighted,z_used,kpc_per_pixel,area_kpc2,sigma_sfr_10myr,sigma_sfr_100myr
11,1460718422.137715,-1.999999991489119,3.940873929651916,4.1880585317298085,2.588467603394412,38,0.1398546771045469,0.1423160417915365,9.574376210020962e-11,9.7428799168057e-11,1.552546233515221,0.42,0.11065684646091241,0.46530763140960985,0.3005639015222447,0.30585365935306535
12,49952188.32665232,-0.2115340630449127,3.4488873999062704,0.0742453701295143,3.989815898835964,38,0.6673941736792292,0.4995218832665232,1.3360659383227393e-08,1e-08,0.0370075514489312,0.42,0.11065684646091241,0.46530763140960985,1.4343073885494104,1.0735303905359648
13,49101010.92301857,-0.1513789341234192,3.606029375688145,0.064238708141824,2.370881444765679,37,0.755636608817659,0.4910101092301856,1.5389430779793097e-08,1e-08,0.0319743109287557,0.42,0.11065684646091241,0.4530626937409359,1.6678411603002936,1.0837575373419475
14,2399810683.620456,-1.8228756104024293,4.9999997239607215,8.744257889692557,1.2974875619913264,20,0.0021998265124672,0.0022780183708669,9.166666885358057e-13,9.49249199703629e-13,1.2871274860816957,0.42,0.11065684646091241,0.24489875337347888,0.008982595795873204,0.00930187818225781
15,24687248.31072112,-0.1850578938867003,2.245357306060298,0.049544367840497,1.54729680448048,174,0.4919386560459389,0.2468724831072111,1.9926832259887836e-08,1e-08,0.0246399854934079,0.42,0.11065684646091241,2.130619154349266,0.2308899997644989,0.11586889313524966
16,1952386748.2843685,-1.999999963187048,4.553498776030455,3.362312804057302,2.106078667183427,41,0.2361068287775095,0.241228372043323,1.2093240695522284e-10,1.23555628645451e-10,1.2517520399572013,0.42,0.11065684646091241,0.5020424444156317,0.4702925647100088,0.4804939795959054
17,2444852441.663697,-1.9999998873469025,4.886620546756265,8.546993165424121,2.1783051079182343,21,0.0226863990017341,0.0231619483986712,9.279250810857246e-12,9.47376128062346e-12,2.005940643040036,0.42,0.11065684646091241,0.2571436910421528,0.08822459889951251,0.09007395166803579
18,146652873.32086912,-8.015992161677542e-08,4.303226785761329,1.089178119610658,1.4005773523050709,10,0.0893277922167315,0.0922638628335011,6.091104128678528e-10,6.29130959007073e-10,0.4747058931623959,0.42,0.11065684646091241,0.12244937668673944,0.7295079373515927,0.7534857696298323
19,27703731.72824715,-0.1368920549540803,3.600590574190238,0.0491350797899795,2.0605611067137524,14,0.558486383167576,0.2770373172824715,2.0159247448896378e-08,1.0000000000000002e-08,0.0244699033346108,0.42,0.11065684646091241,0.1714291273614352,3.257826670202216,1.6160457767388365
20,31903984.013748907,-0.0367593109359328,3.370924721583487,0.0372045431634548,3.792194787216,22,0.8544556985795622,0.319039840137489,2.678210026093724e-08,1e-08,0.0185718543719566,0.42,0.11065684646091241,0.26938862871082675,3.1718328374460505,1.1843107174355156
21,21256653.701574307,-0.249853540717872,3.739540177698658,0.064038645563111,0.5000013377825695,7,0.3142639613205231,0.212566537015743,1.4784263117446761e-08,1e-08,0.0313360200457377,0.42,0.11065684646091241,0.0857145636807176,3.6664009921480836,2.479934889566055
22,743912653.8301598,-1.999999388506078,4.4826156663950085,2.7158497467103357,1.3143219715453047,9,0.0823908652328435,0.0852809873905701,1.1075341279468801e-10,1.1463844169269949e-10,0.9204895955535044,0.42,0.11065684646091241,0.1102044390180655,0.7476183896670207,0.7738434871628922
23,42359617.30205974,-0.8793855669021423,0.5398499845878434,6.099428267448228,0.5000001556943944,1,4.309628436803882e-07,4.723268820632233e-07,1.0173907866241099e-14,1.1150404846557864e-14,0.4999694374149809,0.42,0.11065684646091241,0.012244937668673943,3.519518476463253e-05,3.857323694440444e-05
